j,n,m,coef
584.0,33.0,13.0,0.0573078265015897
585.0,33.0,15.0,-0.0279681750208682
586.0,33.0,17.0,-0.0157025424025083
587.0,33.0,19.0,-0.0405606494357157
588.0,33.0,21.0,0.0419079654077894
589.0,33.0,23.0,-0.0072201914050562
590.0,33.0,25.0,-0.0009184366415307
591.0,33.0,27.0,0.00269416014595
592.0,33.0,29.0,0.000167034290914
593.0,33.0,31.0,-0.0001579853816019
594.0,33.0,33.0,1.203594927411491e-05
612.0,34.0,0.0,41.839129165218
613.0,34.0,2.0,37.51941893034856
614.0,34.0,4.0,-21.53088965398792
615.0,34.0,6.0,-8.687036807809056
616.0,34.0,8.0,-23.03305344913849
617.0,34.0,10.0,0.544058333254824
618.0,34.0,12.0,12.837667348693554
619.0,34.0,14.0,-19.298759139461477
620.0,34.0,16.0,19.85999256473247
621.0,34.0,18.0,-12.72110989668854
622.0,34.0,20.0,2.6755538343958625
623.0,34.0,22.0,1.3872798682678356
624.0,34.0,24.0,0.9535887444123634
625.0,34.0,26.0,-0.3183715772518165
626.0,34.0,28.0,0.0083967677312589
627.0,34.0,30.0,0.1408355598738928
628.0,34.0,32.0,-0.0235117400517742
629.0,34.0,34.0,0.0014957306864412
648.0,35.0,1.0,-0.0906592818437187
649.0,35.0,3.0,0.4700952696732535
650.0,35.0,5.0,0.3211317610620491
651.0,35.0,7.0,0.0030833444885436
652.0,35.0,9.0,-0.2020092575874539
653.0,35.0,11.0,-0.0853905044548177
654.0,35.0,13.0,0.0928554586042706
655.0,35.0,15.0,-0.0279327145528662
656.0,35.0,17.0,-0.0003661287902899
657.0,35.0,19.0,-0.1216929173771156
658.0,35.0,21.0,0.1070607561580746
659.0,35.0,23.0,-0.0027958756476801
660.0,35.0,25.0,-0.0075774877319198
661.0,35.0,27.0,0.0072733519698259
662.0,35.0,29.0,0.0024262378088728
663.0,35.0,31.0,-0.0013504418328043
664.0,35.0,33.0,0.0001190243664396
665.0,35.0,35.0,5.128986412116453e-06
684.0,36.0,0.0,21.697054542443368
685.0,36.0,2.0,52.89281104508144
686.0,36.0,4.0,-44.20541190291278
687.0,36.0,6.0,-46.13120210766156
688.0,36.0,8.0,-8.810145609574985
689.0,36.0,10.0,-13.991760495307055
690.0,36.0,12.0,36.668224246000875
691.0,36.0,14.0,-34.134223069809
692.0,36.0,16.0,25.597933127019253
693.0,36.0,18.0,-13.051475175082384
694.0,36.0,20.0,0.9312882107260148
695.0,36.0,22.0,3.822387936153876
696.0,36.0,24.0,2.773699899092656
697.0,36.0,26.0,-0.0234531324053507
698.0,36.0,28.0,-0.6613970615974958
