j,n,m,coef
1125.0,46.0,42.0,0.03259636119168274
1126.0,46.0,44.0,-0.002695544254581893
1127.0,46.0,46.0,-0.00018721118992311506
1152.0,47.0,1.0,0.03312611903415612
1153.0,47.0,3.0,0.01877739748016006
1154.0,47.0,5.0,0.02280649885910572
1155.0,47.0,7.0,-0.015141449424950337
1156.0,47.0,9.0,-0.013218232087349785
1157.0,47.0,11.0,0.04075020207817465
1158.0,47.0,13.0,0.038626594092063614
1159.0,47.0,15.0,-0.042018328014904384
1160.0,47.0,17.0,-0.03081528767071766
1161.0,47.0,19.0,-0.012764164444197416
1162.0,47.0,21.0,0.02251908542040436
1163.0,47.0,23.0,0.028485202213033214
1164.0,47.0,25.0,-0.014104661885939656
1165.0,47.0,27.0,-0.01850736196424588
1166.0,47.0,29.0,0.00858579197520753
1167.0,47.0,31.0,-0.015300018646782387
1168.0,47.0,33.0,-0.015026138993487943
1169.0,47.0,35.0,0.006150000144932005
1170.0,47.0,37.0,-0.0008608168015524671
1171.0,47.0,39.0,-0.003211682740899181
1172.0,47.0,41.0,0.0022269888884970217
1173.0,47.0,43.0,-0.0006800354731041833
1174.0,47.0,45.0,0.00011145243300564496
1175.0,47.0,47.0,-5.3122065796192344e-06
1200.0,48.0,0.0,2.1470787672632206
1201.0,48.0,2.0,-0.5217549736929636
1202.0,48.0,4.0,-2.1376074245780345
1203.0,48.0,6.0,-3.937015325891548
1204.0,48.0,8.0,-2.631783732660495
1205.0,48.0,10.0,1.4149951777898377
1206.0,48.0,12.0,-4.869647011642916
1207.0,48.0,14.0,-3.0121407673137295
1208.0,48.0,16.0,-1.3583630329065317
1209.0,48.0,18.0,-0.3187625056198585
1210.0,48.0,20.0,0.7238031720480698
1211.0,48.0,22.0,0.5296893877953623
1212.0,48.0,24.0,-1.347754438395118
1213.0,48.0,26.0,-0.18977223763939743
1214.0,48.0,28.0,0.24090227060022443
1215.0,48.0,30.0,-3.5951542672629477
1216.0,48.0,32.0,1.0012003562758465
1217.0,48.0,34.0,-0.46050337467491154
1218.0,48.0,36.0,-0.7867144420591691
1219.0,48.0,38.0,0.417527652164032
1220.0,48.0,40.0,-0.13970136298465471
1221.0,48.0,42.0,-0.027227513405480505
1222.0,48.0,44.0,0.02850406769364442
1223.0,48.0,46.0,-0.008701971760611313
1224.0,48.0,48.0,0.000981679245720346
1250.0,49.0,1.0,0.023081716815051834
1251.0,49.0,3.0,0.01349905563112902
1252.0,49.0,5.0,0.005267147575225667
1253.0,49.0,7.0,-0.001197587534639697
1254.0,49.0,9.0,0.0007959185373525093
1255.0,49.0,11.0,5.348921768570311e-05
1256.0,49.0,13.0,0.044386936358780216
